DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
mysql	xt-1M-1000-120-1	1289	1842	0	1	1	0	50	5.06106628593815924296305225724790549092E04	1100
mysql	xt-1M-1000-120-1	1289	1882	0	1	.25	0	75	5.06523295166927805230806315535735808122E04	1100
mysql	xt-1M-1000-120-1	1289	1902	0	1	.5	0	75	5.06196036280359187609232809015850057253E04	1100
mysql	xt-1M-1000-120-1	1289	1923	0	1	.75	0	75	5.06014676451972633292142620332137798004E04	1100
mysql	xt-1M-1000-120-1	1289	1943	0	1	1	0	75	5.05919866509974085457723136262279274393E04	1100
mysql	xt-1M-1000-120-1	1289	1983	0	1	.25	0	100	5.06205830269423181242842504972575492734E04	1100
mysql	xt-1M-1000-120-1	1289	2022	0	1	.5	0	100	5.05838964405196057747370324602911480151E04	1100
mysql	xt-1M-1000-120-1	1289	2043	0	1	.75	0	100	5.06409866196546424373926408100533405658E04	1100
mysql	xt-1M-1000-120-1	1289	2083	0	1	1	0	100	5.05934083114847964319079046499713708827E04	1100
mysql	xt-1M-1000-120-1	1289	2123	0	1	.25	.01	0	7.36176358381502890173410404624277456647E04	200
mysql	xt-1M-1000-120-1	1289	2142	0	1	.5	.01	0	7.1205446294754371357202331390507910075E04	200
mysql	xt-1M-1000-120-1	1289	2144	0	1	.75	.01	0	7.36004926108374384236453201970443349754E04	200
mysql	xt-1M-1000-120-1	1289	2147	0	1	1	.01	0	7.07370106426524764633647155137126483831E04	200
mysql	xt-1M-1000-120-1	1289	2503	0	1	.25	.1	0	7.53188534768211920529801324503311258278E04	200
mysql	xt-1M-1000-120-1	1289	2522	0	1	.5	.1	0	7.31734177740863787375415282392026578074E04	200
mysql	xt-1M-1000-120-1	1289	2541	0	1	.75	.1	0	7.29449099601593625498007968127490039841E04	200
mysql	xt-1M-1000-120-1	1289	2561	0	1	1	.1	0	7.18810106382978723404255319148936170213E04	200
mysql	xt-1M-1000-120-1	1289	4144	0	1	1	1	0	1.11333575784487862640615748963883955003E05	200
mysql	xt-1M-1000-120-1	2609	1602	0	1	.25	0	25	5.05259120273299110693369966018364543417E04	1100
mysql	xt-1M-1000-120-1	2609	1623	0	1	.5	0	25	5.05049911825819857259011654169301653266E04	1100
mysql	xt-1M-1000-120-1	2609	1661	0	1	.75	0	25	5.05432787916019224514870089979402305496E04	1100
mysql	xt-1M-1000-120-1	2609	1683	0	1	1	0	25	5.05016066426932181644048501057120656318E04	1100
mysql	xt-1M-1000-120-1	2609	1723	0	1	.25	0	50	50500.92519414845584251399674914213473	1100
mysql	xt-1M-1000-120-1	2609	1763	0	1	.5	0	50	5.05355627969147956142410722349668539224E04	1100
mysql	xt-1M-1000-120-1	2609	1801	0	1	.75	0	50	5.05235199234131714894693110798020302735E04	1100
mysql	xt-1M-1000-120-1	2609	1842	0	1	1	0	50	5.04996730956766713620110521183226785134E04	1100
mysql	xt-1M-1000-120-1	2609	1882	0	1	.25	0	75	5.05743180281027903864585782230500750493E04	1100
mysql	xt-1M-1000-120-1	2609	1902	0	1	.5	0	75	5.05859313257370229697956230783143425574E04	1100
mysql	xt-1M-1000-120-1	2609	1923	0	1	.75	0	75	5.05844326851768110699104639594826806548E04	1100
