DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-1	1351	8586	1	1	1	1	0	4.98654209906237320936411083101517015212E01	100
db2	pk-xt-1M-1000-120-2	1710	9266	1	2	.25	0	25	3.40324512313980982591269395507072625596E01	1100
db2	pk-xt-1M-1000-120-2	1710	9305	1	2	.5	0	25	4.69003729816244183579522509580257034113E01	500
db2	pk-xt-1M-1000-120-2	1710	9306	1	2	.75	0	25	4.37203468413121273620637027987277408249E01	700
db2	pk-xt-1M-1000-120-2	1710	9308	1	2	1	0	25	5.34883201094564386477933825233737784856E01	300
db2	pk-xt-1M-1000-120-2	1710	9310	1	2	.25	0	50	4.45987169656933184581702983022900558952E01	600
db2	pk-xt-1M-1000-120-2	1710	9312	1	2	.5	0	50	1.22331817341920411898774807408214247747E02	1100
db2	pk-xt-1M-1000-120-2	1710	9313	1	2	.75	0	50	1.66740905825350248584678959593133602607E02	1100
db2	pk-xt-1M-1000-120-2	1710	9315	1	2	1	0	50	8.93066953958150135976524776360015074526E01	1100
db2	pk-xt-1M-1000-120-2	1710	9329	1	2	.25	0	100	8.85835643433736496697539011754927524842E01	1100
db2	pk-xt-1M-1000-120-2	1710	9434	1	2	.5	.01	0	1.2034873320263767599358403136695776154E05	1100
db2	pk-xt-1M-1000-120-2	1710	9436	1	2	.75	.01	0	1.18921254532569538770448237170023031949E05	1100
db2	pk-xt-1M-1000-120-2	1710	9439	1	2	1	.01	0	1.35977851763299462044231918708906156605E05	1100
db2	pk-xt-1M-1000-120-2	1710	9441	1	2	.25	.1	0	5.39683989257169280235718567945178227217E03	1100
db2	pk-xt-1M-1000-120-2	1710	9443	1	2	.5	.1	0	4.24182842886847923082955862995754386039E03	500
db2	pk-xt-1M-1000-120-2	1710	9445	1	2	.75	.1	0	1.03126713933509170712445135193969554146E04	200
