2014-02-10 01:35:54,072 INFO  - Run Observer 
2014-02-10 01:37:32,131 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:32,196 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:32,267 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:32,351 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:34,057 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:34,455 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:40,176 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:40,545 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:45,522 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-02-10 01:37:45,926 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-1000-50' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
