DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-4	1630	9446	1	4	0.25	0.1	0	0.0152223623600134	0.545454545454545
db2	pk-xt-1M-1000-120-4	1630	9449	1	4	0.5	0.1	0	0.00595218633905381	0.454545454545455
db2	pk-xt-1M-1000-120-4	1630	9451	1	4	0.75	0.1	0	0.00858563196789883	0.636363636363636
db2	pk-xt-1M-1000-120-4	1630	9453	1	4	1	0.1	0	0.090915825742933	0.454545454545455
db2	pk-xt-1M-1000-120-4	1630	9455	1	4	0.25	1	0	0.00615815495184979	1
db2	pk-xt-1M-1000-120-4	1630	9456	1	4	0.5	1	0	0.000841458599103646	1
db2	pk-xt-1M-1000-120-8	1869	9295	1	8	0.25	0	0.25	0.000306977175522008	1
db2	pk-xt-1M-1000-120-8	1869	9304	1	8	0.5	0	0.25	0.00031850246172154	1
db2	pk-xt-1M-1000-120-8	1869	9307	1	8	0.75	0	0.25	0.000326500069472572	1
db2	pk-xt-1M-1000-120-8	1869	9309	1	8	1	0	0.25	0.000341284717312152	1
db2	pk-xt-1M-1000-120-8	1869	9311	1	8	0.25	0	0.5	0.000319604919895139	1
db2	pk-xt-1M-1000-120-8	1869	9314	1	8	0.5	0	0.5	0.000320824169534629	1
db2	pk-xt-1M-1000-120-8	1869	9316	1	8	0.75	0	0.5	0.000328099537911601	1
db2	pk-xt-1M-1000-120-8	1869	9318	1	8	1	0	0.5	0.00033500136457065	1
db2	pk-xt-1M-1000-120-8	1869	9320	1	8	0.25	0	0.75	0.000322105352642474	1
db2	pk-xt-1M-1000-120-8	1869	9322	1	8	0.5	0	0.75	0.000320242428732241	1
db2	pk-xt-1M-1000-120-8	1869	9328	1	8	0.75	0	0.75	0.000311613479983397	1
db2	pk-xt-1M-1000-120-8	1869	9336	1	8	1	0	0.75	0.000311327645396985	1
db2	pk-xt-1M-1000-120-8	1869	9339	1	8	0.25	0	1	0.000311495476981888	1
db2	pk-xt-1M-1000-120-8	1869	9348	1	8	0.5	0	1	0.000309855819847628	1
db2	pk-xt-1M-1000-120-8	1869	9353	1	8	0.75	0	1	0.000253052964183136	0.727272727272727
db2	pk-xt-1M-1000-120-8	1869	9355	1	8	1	0	1	0.00030701721794436	1
db2	pk-xt-1M-1000-120-8	1869	9409	1	8	0.25	0.01	0	0.297969294701852	0.545454545454545
db2	pk-xt-1M-1000-120-8	1869	9412	1	8	0.5	0.01	0	7.7392974035874	1
db2	pk-xt-1M-1000-120-8	1869	9414	1	8	0.75	0.01	0	13.9957483050891	1
db2	pk-xt-1M-1000-120-8	1869	9416	1	8	1	0.01	0	2.01973588005901e-06	1
db2	pk-xt-1M-1000-120-8	1869	9419	1	8	0.25	0.1	0	1.15578410404654e-06	1
db2	pk-xt-1M-1000-120-8	1869	9421	1	8	0.5	0.1	0	7.7091363434413e-08	1
db2	pk-xt-1M-1000-120-8	1869	9423	1	8	0.75	0.1	0	0	1
