RUNID	BATCHSETID	MPL	NUMEXECXACTS	PT	TPS
611	222	800	2107.67	43498483.67	17.56
611	222	900	1520.67	50962764.67	12.67
611	222	1000	1622.67	55728326.67	13.52
611	241	100	167.67	6909727.67	1.4
611	241	200	335.67	17282577.67	2.8
611	241	300	1749.67	26683040.33	14.58
611	241	400	2675	32346286.33	22.29
611	241	500	3397	8670475.33	28.31
611	241	600	5369.67	23063084.33	44.75
611	241	700	4905.67	36917319	40.88
611	241	800	2155.33	40549777.67	17.96
611	241	900	1429.67	51195196.67	11.91
611	241	1000	1654.33	59143734.67	13.79
611	261	100	174.33	7090165	1.45
611	261	200	295.33	16309527.67	2.46
611	261	300	1951.33	26733188.33	16.26
611	261	400	1898.33	31764521.67	15.82
611	261	500	4283.67	21985181.67	35.7
611	261	600	7198	23843586	59.98
611	261	700	3499	34488834	29.16
611	261	800	1767.33	46062397.33	14.73
611	261	900	1069.67	44593253.67	8.91
611	261	1000	864.67	47444953.33	7.21
611	281	100	214	8320261.33	1.78
611	281	200	341.67	17551086.67	2.85
611	281	300	2193.33	26724437.33	18.28
611	281	400	1918.67	33410806	15.99
611	281	500	4581.33	29481528	38.18
611	281	600	4901.67	21145002	40.85
611	281	700	2670	37953046	22.25
611	281	800	1353.33	37303199.67	11.28
611	281	900	3641	49852471.67	30.34
611	281	1000	3324.67	52783645.67	27.71
611	301	100	135	10924362.33	1.13
611	301	200	200	19916680	1.67
611	301	300	300	26619521	2.5
611	301	400	362.67	27634778	3.02
611	301	500	1660.33	34977142.33	13.84
611	301	600	786	44802046	6.55
611	301	700	736.67	59655562.33	6.14
611	301	800	835.67	70461642.33	6.96
611	301	900	905.67	80997525.67	7.55
611	301	1000	848	82692972	7.07
611	321	100	116	9084434	.97
611	321	200	200	19909849	1.67
611	321	300	300	26861664.67	2.5
611	321	400	400	31657281	3.33
611	321	500	1756.67	34982844	14.64
611	321	600	920.33	44833432.67	7.67
611	321	700	777.67	60722138.33	6.48
611	321	800	833.67	70299626.33	6.95
611	321	900	818.33	66957546	6.82
611	321	1000	669.67	62989021.67	5.58
611	341	100	112.33	9635738.67	.94
611	341	200	200	19838827.67	1.67
611	341	300	266	23170482.67	2.22
611	341	400	400	31798074	3.33
611	341	500	1874.33	34672990	15.62
611	341	600	798.33	46242996.33	6.65
611	341	700	770.67	58525253	6.42
611	341	800	835.33	70509242.33	6.96
611	341	900	881.67	78550116.67	7.35
611	341	1000	1055.33	89168834.67	8.79
611	362	100	100.67	10601654.33	.84
611	362	200	200	18088212.33	1.67
611	362	300	300	25349022.67	2.5
611	362	400	400	30618750.67	3.33
611	362	500	1520.67	29299471	12.67
611	362	600	978.67	43747693.67	8.16
611	362	700	754.33	57981778	6.29
611	362	800	905	68259064.67	7.54
611	362	900	993	81886410.33	8.28
611	362	1000	1000	93521203.67	8.33
611	381	100	135	10939183	1.13
611	381	200	200	19856361.67	1.67
611	381	300	300	26835518.67	2.5
611	381	400	400	31519024.67	3.33
611	381	500	1714	34998179	14.28
611	381	600	765.67	44423093.67	6.38
611	381	700	785.33	58500147.67	6.54
611	381	800	835	70381035	6.96
611	381	900	900	82057815.33	7.5
611	381	1000	1108.33	93087996.67	9.24
611	402	100	142.67	10944054	1.19
611	402	200	200	19897185	1.67
611	402	300	298	26419449.33	2.48
611	402	400	400	31793760	3.33
611	402	500	1792.33	34903849.67	14.94
611	402	600	855.33	44763891.67	7.13
611	402	700	791.67	58568246	6.6
611	402	800	854	70449774	7.12
611	402	900	894.33	79245870	7.45
611	402	1000	1000	93909115	8.33
611	421	100	112	9575987.33	.93
611	421	200	200	19881333.33	1.67
611	421	300	300	26753174	2.5
611	421	400	400	31715926.67	3.33
611	421	500	1769.67	34950120.33	14.75
611	421	600	1263	46773916.33	10.53
611	421	700	746.67	58482755.33	6.22
611	421	800	855.33	70278625.67	7.13
611	421	900	918.67	78663446.33	7.66
611	421	1000	1000	93448322	8.33
611	441	100	138	10906296.67	1.15
611	441	200	200	19886468	1.67
611	441	300	300	26647546	2.5
611	441	400	365	27855717.33	3.04
611	441	500	1804.33	34443708	15.04
611	441	600	1085	46785817.67	9.04
611	441	700	790.67	58451236.33	6.59
611	441	800	835.67	70333462.33	6.96
611	441	900	909	82024973	7.58
611	441	1000	1058.67	93597755.67	8.82
611	461	100	140.67	10879152.33	1.17
611	461	200	200	19882721	1.67
611	461	300	300	26846554	2.5
611	461	400	400	31758826	3.33
611	461	500	1730	32554252.67	14.42
611	461	600	920.67	46754056	7.67
611	461	700	944	58502675.67	7.87
611	461	800	833.33	70292353.33	6.94
611	461	900	917.67	79587008.67	7.65
611	461	1000	1000	93596292.67	8.33
611	481	100	133	10912774	1.11
611	481	200	200	19864892.33	1.67
611	481	300	266.33	22894418.33	2.22
611	481	400	400	31719205	3.33
611	481	500	1778.33	34895828.33	14.82
611	481	600	823.67	46764670.67	6.86
611	481	700	781.67	58615315.33	6.51
611	481	800	839	70231463.67	6.99
611	481	900	909	81827713.33	7.58
611	481	1000	1045.67	93456527	8.71
611	501	100	120.33	9823746.33	1
611	501	200	200	19916721.67	1.67
611	501	300	300	26788044.33	2.5
611	501	400	400	31600576.67	3.33
611	501	500	1800.67	34929172.33	15.01
611	501	600	776	46634513	6.47
611	501	700	757.33	58602848	6.31
611	501	800	863	70331854.67	7.19
611	501	900	923	78259399.33	7.69
611	501	1000	1000	93624402.67	8.33
611	502	100	121.33	9716148.67	1.01
611	502	200	200	19870764.67	1.67
611	502	300	300	26723823	2.5
611	502	400	400	31702805.67	3.33
611	502	500	1799	35003315	14.99
611	502	600	938.33	46810147	7.82
611	502	700	821.67	58595315.33	6.85
611	502	800	865.67	70255818.67	7.21
611	502	900	977.67	82098517.67	8.15
611	502	1000	1000	93653190.67	8.33
611	522	100	128	10894130.33	1.07
611	522	200	200	19884311.33	1.67
611	522	300	300	26730915.67	2.5
611	522	400	400	31653273.33	3.33
611	522	500	1754	34923747.33	14.62
611	522	600	828	46890271	6.9
611	522	700	778	56005235.33	6.48
611	522	800	829.67	70277378.33	6.91
611	522	900	902.67	81806487.67	7.52
611	522	1000	1000	93614586	8.33
611	541	100	123.33	9782370.67	1.03
611	541	200	167.67	16484652.33	1.4
611	541	300	300	26805615	2.5
611	541	400	400	31654150.67	3.33
611	541	500	1831.33	36523717.33	15.26
611	541	600	1310.33	46840065	10.92
611	541	700	1037.33	58000187	8.64
611	541	800	1033.33	68467415	8.61
611	541	900	1124.33	80820447.33	9.37
611	541	1000	1056.33	92971675.67	8.8
611	561	100	116.67	9807655.67	.97
611	561	200	200	19877508	1.67
611	561	300	300	26595030	2.5
611	561	400	400	31701030.67	3.33
611	561	500	1719	31926514.33	14.33
611	561	600	931	46593370.33	7.76
611	561	700	771.67	57512798	6.43
611	561	800	868.33	70328770	7.24
611	561	900	883	79050961.33	7.36
611	561	1000	1000	93748185.33	8.33
611	581	100	136	10924222	1.13
611	581	200	161.33	15753709	1.34
611	581	300	300	26787477.67	2.5
611	581	400	400	31735577.33	3.33
611	581	500	1803.67	34540822	15.03
611	581	600	1707.67	43456067	14.23
611	581	700	1036.33	58013602.33	8.64
611	581	800	849.67	70381073.33	7.08
611	581	900	933	81922558.67	7.78
611	581	1000	1000	93502024.33	8.33
611	583	100	177.67	7239630.33	1.48
611	583	200	331.67	17031504.67	2.76
611	583	300	1681	26639428.33	14.01
611	583	400	1896.33	31740022	15.8
611	583	500	3097.33	5498587	25.81
611	583	600	2976.33	24682073	24.8
611	583	700	2561	33269619.67	21.34
611	583	800	1705	43629585.67	14.21
611	583	900	2018.67	49040071	16.82
611	583	1000	846.67	50401324	7.06
611	602	100	177.67	7196169	1.48
611	602	200	339	17441175.67	2.83
611	602	300	1890	26662626	15.75
611	602	400	1282	31780744	10.68
611	602	500	3267.67	6310592.33	27.23
611	602	600	5214.33	19619608.33	43.45
611	602	700	4423.33	32520572.33	36.86
611	602	800	2125.33	46645169	17.71
611	602	900	1549	49511786.33	12.91
611	602	1000	2074	53912748	17.28
611	621	100	169	9492901	1.41
611	621	200	156.67	9592446	1.31
611	621	300	1382.33	25349077.67	11.52
611	621	400	1775	29807715.67	14.79
611	621	500	3780	10815345.33	31.5
611	621	600	4751.33	21752814	39.59
611	621	700	8289	37941256.67	69.08
611	621	800	1968.33	40103758.33	16.4
611	621	900	6274	60580369	52.28
611	621	1000	884	54794785.67	7.37
611	642	100	174	7072575	1.45
611	642	200	343	17607877	2.86
611	642	300	1978.67	26737595.33	16.49
611	642	400	1843	31639512	15.36
611	642	500	3923	14377805.33	32.69
611	642	600	4878	21747907.67	40.65
611	642	700	2441	33181596.67	20.34
611	642	800	1351	43763080.33	11.26
611	642	900	2004	57206605.33	16.7
611	642	1000	1320.67	65902860	11.01
611	661	100	118	9748660.33	.98
611	661	200	200	19835126.33	1.67
611	661	300	300	26415657	2.5
