RUNID	BATCHSETID	MPL	NUMEXECXACTS	PT	TPS
609	143	1000	2925.67	101038409.33	24.38
609	161	100	3045.33	11792690	25.38
609	161	200	3023	23233283.33	25.19
609	161	300	2943.33	34129743	24.53
609	161	400	2982.33	44772516	24.85
609	161	500	2977.67	55229516.33	24.81
609	161	600	2866.67	64254187.67	23.89
609	161	700	2899.67	74116055	24.16
609	161	800	2887.67	82991650.67	24.06
609	161	900	2841	90172355	23.68
609	161	1000	2869.33	99993288.33	23.91
609	162	100	3070	11821149	25.58
609	162	200	2994.67	23204329.67	24.96
609	162	300	2949	34149832.67	24.58
609	162	400	2953	44710428	24.61
609	162	500	2966	55103639.33	24.72
609	162	600	2959	65175165	24.66
609	162	700	2894.67	73402865.33	24.12
609	162	800	2864.33	82695902	23.87
609	162	900	2823.33	90157084.67	23.53
609	162	1000	2856.33	100217230.67	23.8
609	181	100	3058.67	11805159	25.49
609	181	200	3066.33	23278750	25.55
609	181	300	3027.67	34270469	25.23
609	181	400	3008	44877556.33	25.07
609	181	500	3011.33	55077252.33	25.09
609	181	600	2955.33	64626455.67	24.63
609	181	700	2937.33	74274966	24.48
609	181	800	2924.33	83223033.33	24.37
609	181	900	2887	90562887.67	24.06
609	181	1000	2925.33	101097850.33	24.38
609	182	100	3076.33	11808720.67	25.64
609	182	200	3064	23269523	25.53
609	182	300	3003.33	34204635.67	25.03
609	182	400	2973.33	44831876.33	24.78
609	182	500	2996.33	55083639.67	24.97
609	182	600	2954.67	64569446	24.62
609	182	700	2943	73650411.67	24.53
609	182	800	2934.67	83262630.67	24.46
609	182	900	2878.67	90340805	23.99
609	182	1000	2876.67	99813483	23.97
609	201	100	3012.67	11791902	25.11
609	201	200	2988	23212529	24.9
609	201	300	2964.33	34175141	24.7
609	201	400	2970.33	44960284	24.75
609	201	500	2918.67	54828759.67	24.32
609	201	600	2908.67	64893819.67	24.24
609	201	700	2877	73918842.67	23.98
609	201	800	2893	82910534.67	24.11
609	201	900	2825	90359143.67	23.54
609	201	1000	2822	99595165	23.52
609	221	100	3111.33	11806870.67	25.93
609	221	200	3002.33	23196572.33	25.02
609	221	300	2956	34158987.33	24.63
609	221	400	2878.33	44589173	23.99
609	221	500	2930	54791136	24.42
609	221	600	2920.33	64721323	24.34
609	221	700	2878.33	73575480.33	23.99
609	221	800	2894.33	82949312.33	24.12
609	221	900	2840	90021044	23.67
609	221	1000	2849.67	99602914.33	23.75
609	222	100	8676.33	11823460	72.3
609	222	200	8840.67	22645664	73.67
609	222	300	8935	31561795.33	74.46
609	222	400	8944	37267108.67	74.53
609	222	500	9038	42384482.33	75.32
609	222	600	8988	39144517.67	74.9
609	222	700	9026.67	47476613.67	75.22
609	222	800	8987.33	39197986.33	74.89
609	222	900	8977.33	39129184.67	74.81
609	222	1000	8958.33	39066250.67	74.65
609	241	100	8810	11819687	73.42
609	241	200	8907	22671683	74.23
609	241	300	8955.67	31466427.67	74.63
609	241	400	9012.67	37470245.67	75.11
609	241	500	9085	41513717.33	75.71
609	241	600	9039.33	39108912	75.33
609	241	700	9123.67	57566780	76.03
609	241	800	9011	39072506.67	75.09
609	241	900	8971	39761310.67	74.76
609	241	1000	9053.33	39129926	75.44
609	261	100	8850.33	11822825.67	73.75
609	261	200	8933.67	22651654.67	74.45
609	261	300	9100.33	31520992.33	75.84
609	261	400	9052.33	37242885	75.44
609	261	500	9107	39109503	75.89
609	261	600	9095	39023630	75.79
609	261	700	9090.67	56316635	75.76
609	261	800	9096.67	39142494.33	75.81
609	261	900	9069.33	39210580	75.58
609	261	1000	9075	38815697.67	75.63
609	281	100	8968.67	11815388.33	74.74
609	281	200	9031.67	22687104.67	75.26
609	281	300	9128.67	31527333.33	76.07
609	281	400	9166.33	37539888.67	76.39
609	281	500	9191.33	41377291	76.59
609	281	600	9166.67	39120689.67	76.39
609	281	700	9160.33	39005224.33	76.34
609	281	800	9154	39073329	76.28
609	281	900	9251.67	45247501.33	77.1
609	281	1000	9157.67	39059389	76.31
609	301	100	2696	11841790.33	22.47
609	301	200	2707.33	23301979.67	22.56
609	301	300	2717.33	34559046.33	22.64
609	301	400	2777.33	46278595.33	23.14
609	301	500	2765.33	56507995.67	23.04
609	301	600	2696.33	65936387.33	22.47
609	301	700	2830	79044402.67	23.58
609	301	800	2627.67	83200281.33	21.9
609	301	900	2752.67	96711967.67	22.94
609	301	1000	3027	114300661.33	25.23
609	321	100	2689.33	11809858.33	22.41
609	321	200	2707.33	23278011.33	22.56
609	321	300	2765	34929559.33	23.04
609	321	400	2729	45596482.67	22.74
609	321	500	2754	56352267	22.95
609	321	600	2692.33	65794632.67	22.44
609	321	700	2829.33	79164986	23.58
609	321	800	2474	78855748.67	20.62
609	321	900	2751.33	97043618.67	22.93
609	321	1000	3003.67	114195469.67	25.03
609	341	100	2730.67	11849619.67	22.76
609	341	200	2709.67	23132783	22.58
609	341	300	2720.33	34327018.33	22.67
609	341	400	2816.33	46401852	23.47
609	341	500	2677.33	54865348.67	22.31
609	341	600	2793.33	67496983.67	23.28
609	341	700	2833	78605348	23.61
609	341	800	2774.67	86528246.33	23.12
609	341	900	2752.67	96291966.67	22.94
609	341	1000	2796.67	107003109.33	23.31
609	362	100	2731.33	11806086	22.76
609	362	200	2792.33	23550600.33	23.27
609	362	300	2767	34735811.33	23.06
609	362	400	2817.33	46256484	23.48
609	362	500	2771.67	56074884	23.1
609	362	600	2716.67	65359586	22.64
609	362	700	2833.67	78595500	23.61
609	362	800	2509.33	79261765.33	20.91
609	362	900	2754.33	96288327.67	22.95
609	362	1000	2879.33	109661765	23.99
609	381	100	2571.33	11840848	21.43
609	381	200	2700.67	23739798.67	22.51
609	381	300	2667.67	34660962.67	22.23
609	381	400	2615	44994299	21.79
609	381	500	2544	53971726.33	21.2
609	381	600	2455.33	61910593.33	20.46
609	381	700	2822.67	80408414	23.52
609	381	800	2467	80679795	20.56
609	381	900	2743.33	98658139	22.86
609	381	1000	2683.67	105049163.33	22.36
609	402	100	2559.33	11793872	21.33
609	402	200	2699	23686001.67	22.49
609	402	300	2684.67	34764581.67	22.37
609	402	400	2706.33	46018851.67	22.55
609	402	500	2739	57284158.67	22.83
609	402	600	2470.33	61885959.67	20.59
609	402	700	2824.33	80136786.33	23.54
609	402	800	2468.33	80283460.67	20.57
609	402	900	2746	98364780.33	22.88
609	402	1000	2761.33	107714548.33	23.01
609	421	100	2597.67	11857953.33	21.65
609	421	200	2625.67	23010799.67	21.88
609	421	300	2712.33	35032858	22.6
