"RNUM"	"DBMS"	"EXPERIMENTNAME"	"RUNID"	"BATCHSETID"	"PK"	"NUMPROCESSORS"	"ACTROWPOOL"	"PCTREAD"	"PCTUPDATE"	"ATP"	"MAXMPL"
"54"	"db2"	"pk-xt-1M-1000-120-4"	1630	9427	1	0.428571428571429	1	0	0.75	0.000299	1
"55"	"db2"	"pk-xt-1M-1000-120-4"	1630	9429	1	0.428571428571429	0	0	1	0.000306	1
"56"	"db2"	"pk-xt-1M-1000-120-4"	1630	9431	1	0.428571428571429	0.333333333333333	0	1	0.000298	1
"57"	"db2"	"pk-xt-1M-1000-120-4"	1630	9433	1	0.428571428571429	0.666666666666667	0	1	0.00031	1
"58"	"db2"	"pk-xt-1M-1000-120-4"	1630	9435	1	0.428571428571429	1	0	1	0.000318	1
"59"	"db2"	"pk-xt-1M-1000-120-4"	1630	9438	1	0.428571428571429	0	0.01	0	0.225976	1
"60"	"db2"	"pk-xt-1M-1000-120-4"	1630	9440	1	0.428571428571429	0.333333333333333	0.01	0	0.708704	1
"61"	"db2"	"pk-xt-1M-1000-120-4"	1630	9442	1	0.428571428571429	0.666666666666667	0.01	0	0.677626	1
"62"	"db2"	"pk-xt-1M-1000-120-4"	1630	9444	1	0.428571428571429	1	0.01	0	1	1
"63"	"db2"	"pk-xt-1M-1000-120-4"	1630	9446	1	0.428571428571429	0	0.1	0	0.014994	0.5
"64"	"db2"	"pk-xt-1M-1000-120-4"	1630	9449	1	0.428571428571429	0.333333333333333	0.1	0	0.005917	0.4
"65"	"db2"	"pk-xt-1M-1000-120-4"	1630	9451	1	0.428571428571429	0.666666666666667	0.1	0	0.008513	0.6
"66"	"db2"	"pk-xt-1M-1000-120-4"	1630	9453	1	0.428571428571429	1	0.1	0	0.083339	0.4
"67"	"db2"	"pk-xt-1M-1000-120-4"	1630	9455	1	0.428571428571429	0	1	0	0.00612	1
"68"	"db2"	"pk-xt-1M-1000-120-4"	1630	9456	1	0.428571428571429	0.333333333333333	1	0	0.000841	1
"69"	"db2"	"pk-xt-1M-1000-120-8"	1869	9295	1	1	0	0	0.25	0.000307	1
"70"	"db2"	"pk-xt-1M-1000-120-8"	1869	9304	1	1	0.333333333333333	0	0.25	0.000318	1
"71"	"db2"	"pk-xt-1M-1000-120-8"	1869	9307	1	1	0.666666666666667	0	0.25	0.000326	1
"72"	"db2"	"pk-xt-1M-1000-120-8"	1869	9309	1	1	1	0	0.25	0.000341	1
"73"	"db2"	"pk-xt-1M-1000-120-8"	1869	9311	1	1	0	0	0.5	0.00032	1
"74"	"db2"	"pk-xt-1M-1000-120-8"	1869	9314	1	1	0.333333333333333	0	0.5	0.000321	1
"75"	"db2"	"pk-xt-1M-1000-120-8"	1869	9316	1	1	0.666666666666667	0	0.5	0.000328	1
"76"	"db2"	"pk-xt-1M-1000-120-8"	1869	9318	1	1	1	0	0.5	0.000335	1
"77"	"db2"	"pk-xt-1M-1000-120-8"	1869	9320	1	1	0	0	0.75	0.000322	1
"78"	"db2"	"pk-xt-1M-1000-120-8"	1869	9322	1	1	0.333333333333333	0	0.75	0.00032	1
"79"	"db2"	"pk-xt-1M-1000-120-8"	1869	9328	1	1	0.666666666666667	0	0.75	0.000312	1
"80"	"db2"	"pk-xt-1M-1000-120-8"	1869	9336	1	1	1	0	0.75	0.000311	1
"81"	"db2"	"pk-xt-1M-1000-120-8"	1869	9339	1	1	0	0	1	0.000311	1
"82"	"db2"	"pk-xt-1M-1000-120-8"	1869	9348	1	1	0.333333333333333	0	1	0.00031	1
"83"	"db2"	"pk-xt-1M-1000-120-8"	1869	9353	1	1	0.666666666666667	0	1	0.000253	0.7
"84"	"db2"	"pk-xt-1M-1000-120-8"	1869	9355	1	1	1	0	1	0.000307	1
"85"	"db2"	"pk-xt-1M-1000-120-8"	1869	9409	1	1	0	0.01	0	0.229566	0.5
"86"	"db2"	"pk-xt-1M-1000-120-8"	1869	9412	1	1	0.333333333333333	0.01	0	0.885574	1
"87"	"db2"	"pk-xt-1M-1000-120-8"	1869	9414	1	1	0.666666666666667	0.01	0	0.933314	1
"88"	"db2"	"pk-xt-1M-1000-120-8"	1869	9416	1	1	1	0.01	0	2e-06	1
"89"	"db2"	"pk-xt-1M-1000-120-8"	1869	9419	1	1	0	0.1	0	1e-06	1
"90"	"db2"	"pk-xt-1M-1000-120-8"	1869	9421	1	1	0.333333333333333	0.1	0	0	1
"91"	"db2"	"pk-xt-1M-1000-120-8"	1869	9423	1	1	0.666666666666667	0.1	0	0	1
"92"	"db2"	"pk-xt-1M-1000-120-8"	1869	9425	1	1	1	0.1	0	0.051251	0.3
"93"	"db2"	"pk-xt-1M-1000-120-8"	1869	9428	1	1	0	1	0	0.00259	0.6
"94"	"db2"	"pk-xt-1M-1000-120-8"	1869	9430	1	1	0.333333333333333	1	0	0.016907	0.4
"95"	"db2"	"pk-xt-1M-1000-120-8"	1869	9432	1	1	0.666666666666667	1	0	4.6e-05	1
"96"	"db2"	"pk-xt-1M-1000-120-8"	1869	9437	1	1	1	1	0	2e-06	1
"97"	"db2"	"xt-1M-1000-120-1"	689	1602	0	0	0	0	0.25	0.000337	1
"98"	"db2"	"xt-1M-1000-120-1"	689	1623	0	0	0.333333333333333	0	0.25	0.00033	1
"99"	"db2"	"xt-1M-1000-120-1"	689	1661	0	0	0.666666666666667	0	0.25	0.000818	0.4
"100"	"db2"	"xt-1M-1000-120-1"	689	1683	0	0	1	0	0.25	0.000803	1
"101"	"db2"	"xt-1M-1000-120-1"	689	1723	0	0	0	0	0.5	0.000356	1
"102"	"db2"	"xt-1M-1000-120-1"	689	1763	0	0	0.333333333333333	0	0.5	0.000318	1
"103"	"db2"	"xt-1M-1000-120-1"	689	1801	0	0	0.666666666666667	0	0.5	0.000768	1
"104"	"db2"	"xt-1M-1000-120-1"	689	1842	0	0	1	0	0.5	0.000847	0.6
"105"	"db2"	"xt-1M-1000-120-1"	689	1882	0	0	0	0	0.75	0.000348	1
"106"	"db2"	"xt-1M-1000-120-1"	689	1902	0	0	0.333333333333333	0	0.75	0.000347	1
"107"	"db2"	"xt-1M-1000-120-1"	689	1923	0	0	0.666666666666667	0	0.75	0.000766	0
"108"	"db2"	"xt-1M-1000-120-1"	689	1943	0	0	1	0	0.75	0.000795	0.1
"109"	"db2"	"xt-1M-1000-120-1"	689	1983	0	0	0	0	1	0.000356	1
"110"	"db2"	"xt-1M-1000-120-1"	689	2022	0	0	0.333333333333333	0	1	0.000339	1
"111"	"db2"	"xt-1M-1000-120-1"	689	2043	0	0	0.666666666666667	0	1	0.000767	0.5
"112"	"db2"	"xt-1M-1000-120-1"	689	2083	0	0	1	0	1	0.000717	0.5
"113"	"db2"	"xt-1M-1000-120-1"	689	2123	0	0	0	0.01	0	0.00026	0.4
"114"	"db2"	"xt-1M-1000-120-1"	689	2142	0	0	0.333333333333333	0.01	0	0.000246	0.1
"115"	"db2"	"xt-1M-1000-120-1"	689	2144	0	0	0.666666666666667	0.01	0	0.000246	0.1
"116"	"db2"	"xt-1M-1000-120-1"	689	2147	0	0	1	0.01	0	0.000283	0.1
"117"	"db2"	"xt-1M-1000-120-1"	689	2503	0	0	0	0.1	0	0.000221	0.1
"118"	"db2"	"xt-1M-1000-120-1"	689	2522	0	0	0.333333333333333	0.1	0	0.000295	0.1
"119"	"db2"	"xt-1M-1000-120-1"	689	2541	0	0	0.666666666666667	0.1	0	0.000378	0.1
"120"	"db2"	"xt-1M-1000-120-1"	689	4105	0	0	0	1	0	0.000281	1
"121"	"db2"	"xt-1M-1000-120-1"	689	4124	0	0	0.333333333333333	1	0	0.00024	0.1
"122"	"db2"	"xt-1M-1000-120-1"	689	4125	0	0	0.666666666666667	1	0	0.000242	1
"123"	"db2"	"xt-1M-1000-120-1"	689	4144	0	0	1	1	0	0.000256	0.2
"124"	"db2"	"xt-1M-1000-120-2"	949	401	0	0.142857142857143	0	0	0.25	0.000233	1
"125"	"db2"	"xt-1M-1000-120-2"	949	422	0	0.142857142857143	0.333333333333333	0	0.25	0.000242	1
