DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ROUND(ATP,3)	MAXMPL
db2	pk-xt-1M-1000-120-4	1630	9438	1	4	.25	.01	0	28730.831	600
db2	pk-xt-1M-1000-120-4	1630	9440	1	4	.5	.01	0	98950.262	1100
db2	pk-xt-1M-1000-120-4	1630	9442	1	4	.75	.01	0	94359.123	1100
db2	pk-xt-1M-1000-120-4	1630	9444	1	4	1	.01	0	139618.964	1100
db2	pk-xt-1M-1000-120-4	1630	9446	1	4	.25	.1	0	2102.227	600
db2	pk-xt-1M-1000-120-4	1630	9449	1	4	.5	.1	0	852.172	500
db2	pk-xt-1M-1000-120-4	1630	9451	1	4	.75	.1	0	1194.222	700
db2	pk-xt-1M-1000-120-4	1630	9453	1	4	1	.1	0	11640.982	500
db2	pk-xt-1M-1000-120-4	1630	9455	1	4	.25	1	0	1139.045	1100
db2	pk-xt-1M-1000-120-4	1630	9456	1	4	.5	1	0	125.51	700
db2	pk-xt-1M-1000-120-4	1630	9457	1	4	.75	1	0	135.593	1100
db2	pk-xt-1M-1000-120-4	1630	9458	1	4	1	1	0	415.489	500
db2	pk-xt-1M-1000-120-8	1869	9295	1	8	.25	0	25	48.603	1100
db2	pk-xt-1M-1000-120-8	1869	9304	1	8	.5	0	25	50.211	1100
db2	pk-xt-1M-1000-120-8	1869	9307	1	8	.75	0	25	51.327	1100
db2	pk-xt-1M-1000-120-8	1869	9309	1	8	1	0	25	53.39	1100
db2	pk-xt-1M-1000-120-8	1869	9311	1	8	.25	0	50	50.365	1100
db2	pk-xt-1M-1000-120-8	1869	9314	1	8	.5	0	50	50.535	1100
db2	pk-xt-1M-1000-120-8	1869	9316	1	8	.75	0	50	51.55	1100
db2	pk-xt-1M-1000-120-8	1869	9318	1	8	1	0	50	52.513	1100
db2	pk-xt-1M-1000-120-8	1869	9320	1	8	.25	0	75	50.714	1100
db2	pk-xt-1M-1000-120-8	1869	9322	1	8	.5	0	75	50.454	1100
db2	pk-xt-1M-1000-120-8	1869	9328	1	8	.75	0	75	49.25	1100
db2	pk-xt-1M-1000-120-8	1869	9336	1	8	1	0	75	49.21	1100
db2	pk-xt-1M-1000-120-8	1869	9339	1	8	.25	0	100	49.234	1100
db2	pk-xt-1M-1000-120-8	1869	9348	1	8	.5	0	100	49.005	1100
db2	pk-xt-1M-1000-120-8	1869	9353	1	8	.75	0	100	41.079	800
db2	pk-xt-1M-1000-120-8	1869	9355	1	8	1	0	100	48.609	1100
db2	pk-xt-1M-1000-120-8	1869	9409	1	8	.25	.01	0	32056.169	700
db2	pk-xt-1M-1000-120-8	1869	9412	1	8	.5	.01	0	123643.629	1100
db2	pk-xt-1M-1000-120-8	1869	9414	1	8	.75	.01	0	130308.778	1100
db2	pk-xt-1M-1000-120-8	1869	9416	1	8	1	.01	0	6.056	1100
db2	pk-xt-1M-1000-120-8	1869	9419	1	8	.25	.1	0	6.032	1100
db2	pk-xt-1M-1000-120-8	1869	9421	1	8	.5	.1	0	5.769	1100
db2	pk-xt-1M-1000-120-8	1869	9423	1	8	.75	.1	0	5.758	1100
db2	pk-xt-1M-1000-120-8	1869	9425	1	8	1	.1	0	7690.357	400
db2	pk-xt-1M-1000-120-8	1869	9428	1	8	.25	1	0	450.618	700
db2	pk-xt-1M-1000-120-8	1869	9430	1	8	.5	1	0	1754.485	800
db2	pk-xt-1M-1000-120-8	1869	9432	1	8	.75	1	0	12.323	1100
db2	pk-xt-1M-1000-120-8	1869	9437	1	8	1	1	0	5.975	1100
db2	xt-1M-1000-120-1	689	1602	0	1	.25	0	25	52.844	1100
db2	xt-1M-1000-120-1	689	1623	0	1	.5	0	25	51.781	1100
db2	xt-1M-1000-120-1	689	1661	0	1	.75	0	25	119.963	1100
db2	xt-1M-1000-120-1	689	1683	0	1	1	0	25	117.808	1100
