oracle	pk-xt-1M-1000-120-1	2889	7207	1	1	.25	0	25	1.13947654603021922969019277784457536772E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7246	1	1	.5	0	25	1.43793167840229312063808574277168494516E04	600
oracle	pk-xt-1M-1000-120-1	2889	7286	1	1	.75	0	25	1.4660703029376995392001544041367441636E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7306	1	1	1	0	25	1.13906884783760251828128520022649918716E04	500
oracle	pk-xt-1M-1000-120-1	2889	7327	1	1	.25	0	50	1.68055877820745019335258700866415389887E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7366	1	1	.5	0	50	3.51251206332360484655523127266295215353E04	100
oracle	pk-xt-1M-1000-120-1	2889	7406	1	1	.75	0	50	27623.5560302734375	1100
oracle	pk-xt-1M-1000-120-1	2889	7427	1	1	1	0	50	2.83583173910479448015568791649466297104E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7467	1	1	.25	0	75	2.37984556301267710663683818046234153617E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7506	1	1	.5	0	75	2.91428593531875290832945556072591903211E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7546	1	1	.75	0	75	3.42864142717973697028738431563565513882E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7587	1	1	1	0	75	2.47308751940537234793244578256574304935E04	100
oracle	pk-xt-1M-1000-120-1	2889	7627	1	1	.25	0	100	2.45182288140734000606612071580224446466E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7666	1	1	.5	0	100	3.11352749950218135080827646132401658189E04	1100
oracle	pk-xt-1M-1000-120-1	2889	7686	1	1	.75	0	100	4.02608425150290726323051148122597812161E04	700
oracle	pk-xt-1M-1000-120-1	2889	7706	1	1	1	0	100	4.51032548170106031239311367004902519667E04	700
oracle	pk-xt-1M-1000-120-1	2889	7726	1	1	.25	.01	0	5.35528296109636866592993545389916167496E02	300
oracle	pk-xt-1M-1000-120-1	2889	7747	1	1	.5	.01	0	8.91284875647831256020693620884434114891E02	1100
oracle	pk-xt-1M-1000-120-1	2889	7766	1	1	.75	.01	0	1.47407059407703045804172873511528336003E03	200
oracle	pk-xt-1M-1000-120-1	2889	7786	1	1	1	.01	0	1.66226277924753481660306122912024831079E03	1100
oracle	pk-xt-1M-1000-120-1	2889	8126	1	1	.25	.1	0	1.40341746203280716773440757384428970031E01	1100
oracle	pk-xt-1M-1000-120-1	2889	8146	1	1	.5	.1	0	9.26840926098285486856642986996565169534E02	700
oracle	pk-xt-1M-1000-120-1	2889	8166	1	1	.75	.1	0	1.2557982493103428902110828318922168473E03	500
oracle	pk-xt-1M-1000-120-1	2889	8186	1	1	1	.1	0	1.67462900381650950815872043446945550579E03	500
oracle	pk-xt-1M-1000-120-1	2889	8526	1	1	.25	1	0	4.64391350029835625024147538238968331309E02	500
oracle	pk-xt-1M-1000-120-1	2889	8547	1	1	.5	1	0	9.26740215483807791123468974918633087407E02	700
oracle	pk-xt-1M-1000-120-1	2889	8567	1	1	.75	1	0	1.07616954228192343475613599186320093303E03	400
oracle	pk-xt-1M-1000-120-1	2889	8586	1	1	1	1	0	2.22659202438169104148187875162441469502E03	100
oracle	pk-xt-1M-1000-120-2	2850	9266	1	2	.25	0	25	4.34417140734451284228401613245595414986E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9305	1	2	.5	0	25	4.08124900470219435736677115987460815047E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9306	1	2	.75	0	25	5.3415146901072705601907032181168057211E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9308	1	2	1	0	25	6.77029794290892614408699592206615314907E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9310	1	2	.25	0	50	9.37237107057890563045202220459952418715E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9312	1	2	.5	0	50	3.98991458238296947974367329206038883458E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9313	1	2	.75	0	50	4.6373749466549516756621061880256056232E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9315	1	2	1	0	50	5.19269092190826955170627841399551130805E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9317	1	2	.25	0	75	4.89250546121506883191822603247877339049E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9319	1	2	.5	0	75	6.63797242619060269557055062607371198838E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9321	1	2	.75	0	75	1.26510761671686746987951807228915662651E05	1100
oracle	pk-xt-1M-1000-120-2	2850	9323	1	2	1	0	75	5.84380547834748375468386851966038988759E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9329	1	2	.25	0	100	5.12407698511432370983655784822615932392E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9334	1	2	.5	0	100	4.64862229838103353215377675304496015237E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9337	1	2	.75	0	100	7.94702785156460386707599504497226261647E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9340	1	2	1	0	100	3.83500853209052971458161990922659843431E04	1100
oracle	pk-xt-1M-1000-120-2	2850	9341	1	2	.25	.01	0	4.40844929582167493605967318646535202238E03	100
oracle	pk-xt-1M-1000-120-2	2850	9434	1	2	.5	.01	0	2.86795063926047944998498288295344447028E03	1100
oracle	pk-xt-1M-1000-120-2	2850	9436	1	2	.75	.01	0	6.46950494631994234404743910747183467287E03	600
oracle	pk-xt-1M-1000-120-2	2850	9439	1	2	1	.01	0	1.85111048095991443659618084181911361661E04	1100
