EXPERIMENTNAME	RUNID	BATCHSETID	MPL	NUMEXECXACTS	PROCTIME	TPS
pk-xt-30K-1000-120-8	2049	9407	700	977144.8	84225945	8.14214075943407934599301177438175436091E00
pk-xt-30K-1000-120-8	2049	9407	800	1023627.2	96088127.6	8.52989994253762980927849918342651745373E00
pk-xt-30K-1000-120-8	2049	9407	900	545125.4	107550721	4.54226262804048539239182779668473223711E00
pk-xt-30K-1000-120-8	2049	9407	1000	300612.6	118212259.6	2.50488375041748162502652461146259770784E00
pk-xt-30K-1000-120-8	2049	9408	100	940670.8	12013471.8	7.83821788904969631734817275669125936044E00
pk-xt-30K-1000-120-8	2049	9408	200	970692.6	24037346.4	8.08837714944874324497645155518550426797E00
pk-xt-30K-1000-120-8	2049	9408	300	976433.2	36071621	8.1361975152277707876777962020148153086E00
pk-xt-30K-1000-120-8	2049	9408	400	970687.6	48110968.6	8.08836238290800067489022238900383663481E00
pk-xt-30K-1000-120-8	2049	9408	500	967047.8	60136500.8	8.05803334726258542262851247634883531504E00
pk-xt-30K-1000-120-8	2049	9408	600	966442.2	72170987.2	8.05294681320878919432385364674904800393E00
pk-xt-30K-1000-120-8	2049	9408	700	999195.4	84260662.8	8.32586512902983893143128546549899592537E00
pk-xt-30K-1000-120-8	2049	9408	800	1011536.6	95800761.6	8.42869903592170717684212280540950412879E00
pk-xt-30K-1000-120-8	2049	9408	900	929468	107494110.8	7.74485672146719884010632358700452458525E00
pk-xt-30K-1000-120-8	2049	9408	1000	463046.6	119036191.4	3.85840013332222314807099408382634780435E00
pk-xt-30K-1000-120-8	2049	9410	100	921830.6	12010278	7.6812433492516053844968385883406345058E00
pk-xt-30K-1000-120-8	2049	9410	200	940015.2	24039155	7.83274199865012373865728974843972635842E00
pk-xt-30K-1000-120-8	2049	9410	300	963401	36069689.4	8.02760580280140987076184683070718517469E00
pk-xt-30K-1000-120-8	2049	9410	400	958581.6	48107312.2	7.98746114853367838831644582234157352619E00
pk-xt-30K-1000-120-8	2049	9410	500	952390.8	60152630	7.93588890332054533753398800149288595578E00
pk-xt-30K-1000-120-8	2049	9410	600	953231.2	72172423	7.94286523735324261942655256601478197832E00
pk-xt-30K-1000-120-8	2049	9410	700	965770.8	84219756.8	8.04736574621592387417260131150755949196E00
pk-xt-30K-1000-120-8	2049	9410	800	1008228.6	96165942.2	8.40114894981389475733910292731401713002E00
pk-xt-30K-1000-120-8	2049	9410	900	805203.6	107592081	6.70942766912755242804517771299956199124E00
pk-xt-30K-1000-120-8	2049	9410	1000	205616.6	116172408	1.71331844558695082426099108567743565539E00
pk-xt-30K-1000-120-8	2049	9411	100	979930.2	12011921.8	8.16533651081984151452783494846305755306E00
pk-xt-30K-1000-120-8	2049	9411	200	988924.2	24044103.6	8.24027964103290531701260717767537975686E00
pk-xt-30K-1000-120-8	2049	9411	300	989891.6	36075701.8	8.24835430818225047421926495056982079784E00
pk-xt-30K-1000-120-8	2049	9411	400	991200.2	48122522.4	8.25924456924781894992958978760280307638E00
pk-xt-30K-1000-120-8	2049	9411	500	984022.6	60177471.6	8.19945037486915197926427335500523040061E00
pk-xt-30K-1000-120-8	2049	9411	600	978610.6	72216287.6	8.15434085208855854879969336144186782878E00
pk-xt-30K-1000-120-8	2049	9411	700	1032423.8	84313833.8	8.60278611197856539566393981587712568727E00
pk-xt-30K-1000-120-8	2049	9411	800	1027484.8	96330295.4	8.56160271987289035626974035171126728599E00
pk-xt-30K-1000-120-8	2049	9411	900	1012577.8	108170158	8.43738943032796779063133000548193645258E00
pk-xt-30K-1000-120-8	2049	9411	1000	445486.2	118890807.4	3.71204472923315362758413812067227170843E00
pk-xt-30K-1000-120-8	2049	9459	100	976118.6	12010775.2	8.13390108973959479301872807856768984666E00
pk-xt-30K-1000-120-8	2049	9459	200	974474.8	24039188.6	8.11996098404584628125709805903833429907E00
pk-xt-30K-1000-120-8	2049	9459	300	983288	36073755.8	8.19331561273549924590245894126371749256E00
pk-xt-30K-1000-120-8	2049	9459	400	979979.4	48121715.2	8.16574647323995300430793843897642716084E00
pk-xt-30K-1000-120-8	2049	9459	500	973572.2	60148919.8	8.11235803384689736774129038171500945747E00
pk-xt-30K-1000-120-8	2049	9459	600	975879.4	72178477	8.13159649058111955658293470697330621537E00
pk-xt-30K-1000-120-8	2049	9459	700	990743.8	84244612	8.25544158452141886993692244877552890985E00
pk-xt-30K-1000-120-8	2049	9459	800	1017484.6	96356282.8	8.47828948004850242837119704601474776208E00
pk-xt-30K-1000-120-8	2049	9459	900	535978.2	107558968.4	4.46608455355942564971013256929241670054E00
pk-xt-30K-1000-120-8	2049	9459	1000	242891.4	118270235.2	2.02391327561909580281085960587490545778E00
pk-xt-30K-1000-120-8	2049	9460	100	934958.8	12012335.8	7.79062223586091559361134611878698498134E00
pk-xt-30K-1000-120-8	2049	9460	200	964127.2	24045363.6	8.03365691478281157560556948946346584896E00
pk-xt-30K-1000-120-8	2049	9460	300	965560.8	36078266.8	8.04561588278872397977856390578579098405E00
pk-xt-30K-1000-120-8	2049	9460	400	969762.6	48118688	8.08064124108346757934157121617794429172E00
pk-xt-30K-1000-120-8	2049	9460	500	963732.2	60154633.8	8.03036554982459941172059227904108790027E00
pk-xt-30K-1000-120-8	2049	9460	600	963363	72191429.2	8.02728916515986034613493763071718425811E00
pk-xt-30K-1000-120-8	2049	9460	700	976447.2	84241483.6	8.13632741557755061520271676954457659841E00
pk-xt-30K-1000-120-8	2049	9460	800	1014143.8	96163232	8.45043780177717800805070356537762890164E00
pk-xt-30K-1000-120-8	2049	9460	900	765874.8	107231856.8	6.38171779870543780827256904277983334126E00
pk-xt-30K-1000-120-8	2049	9460	1000	54509.2	116834281	4.54201763096861247847269973365793134104E-01
pk-xt-30K-1000-120-8	2049	9461	100	919613.8	12011786.2	7.66275855234337874498548434937752015401E00
pk-xt-30K-1000-120-8	2049	9461	200	956177.4	24038052	7.96742792298729170113271239167879210828E00
pk-xt-30K-1000-120-8	2049	9461	300	966734.2	36061155.8	8.05537992350701185724641907825116031031E00
pk-xt-30K-1000-120-8	2049	9461	400	961933.6	48099484	8.0153919231708679072276608680256860964E00
pk-xt-30K-1000-120-8	2049	9461	500	950782	60140563.2	7.92248346834629068259638069687791604132E00
pk-xt-30K-1000-120-8	2049	9461	600	948053.4	72188574.8	7.89973401045298037080817518122528071929E00
pk-xt-30K-1000-120-8	2049	9461	700	994000.6	84135187.6	8.2825932311508503076827156744029014239E00
pk-xt-30K-1000-120-8	2049	9461	800	1011132	96029498.6	8.4253418017966579322484973082950272652E00
pk-xt-30K-1000-120-8	2049	9461	900	675034.8	107914960.8	5.62478717912375128077498653810246268075E00
pk-xt-30K-1000-120-8	2049	9461	1000	578952	118935226.6	4.82417198600946789443503856353928048777E00
pk-xt-30K-1000-120-8	2049	9462	100	174890.8	12000734.2	1.45729218000029579545575791596655510589E00
pk-xt-30K-1000-120-8	2049	9462	200	174827	24002218	1.4567605605377627207492925347493231169E00
pk-xt-30K-1000-120-8	2049	9462	300	174636.4	36004211.8	1.45517236540071041775479944113752742401E00
pk-xt-30K-1000-120-8	2049	9462	400	174484.2	48011383.6	1.45392353882538842565541295439189636017E00
pk-xt-30K-1000-120-8	2049	9462	500	174174	60016890.6	1.45132905545631500817319983953952631775E00
pk-xt-30K-1000-120-8	2049	9462	600	163528.4	72028942.4	1.3626116082525348875048893618699878751E00
pk-xt-30K-1000-120-8	2049	9462	700	158542	84062558	1.32106444039535522648195767733595617247E00
pk-xt-30K-1000-120-8	2049	9462	800	165356.6	96081755.2	1.37784536417495062952562681754172534185E00
pk-xt-30K-1000-120-8	2049	9462	900	172157.2	108102250.8	1.43451901152040814612686557116704487629E00
pk-xt-30K-1000-120-8	2049	9462	1000	171963.8	120172027.6	1.43290031747089850097074434843472681671E00
pk-xt-30K-1000-120-8	2049	9463	100	178387.6	12000946.8	1.48642955768106891398744243794706286301E00
pk-xt-30K-1000-120-8	2049	9463	200	177579.6	24001713.2	1.47969436135020956412328869853596753631E00
pk-xt-30K-1000-120-8	2049	9463	300	177604.4	36024121.4	1.47990346675516636372882662130162441412E00
pk-xt-30K-1000-120-8	2049	9463	400	177433	48021391.2	1.47847280665938955595737057436401663181E00
pk-xt-30K-1000-120-8	2049	9463	500	177290.2	60011858.4	1.47728291573272450025414337019106581897E00
pk-xt-30K-1000-120-8	2049	9463	600	175728	72026983.8	1.46426577563723325361841831165476497988E00
pk-xt-30K-1000-120-8	2049	9463	700	175271	84056753.4	1.46046022556812107794376827292623026929E00
pk-xt-30K-1000-120-8	2049	9463	800	175152.2	96080992.2	1.45947031450456346559477221934599333116E00
pk-xt-30K-1000-120-8	2049	9463	900	174987.4	108151448.2	1.45810196268491792440899428120985973753E00
pk-xt-30K-1000-120-8	2049	9463	1000	174928.4	120189220.8	1.45760790717618376580069222343894370025E00
pk-xt-30K-1000-120-8	2049	9464	100	180924.6	12000827.8	1.50756931249304813503225165779685205383E00
pk-xt-30K-1000-120-8	2049	9464	200	180028.2	24003029.4	1.5000999948473600846789583132198105294E00
pk-xt-30K-1000-120-8	2049	9464	300	180077	36007233	1.5005066219900594882765971711599297326E00
pk-xt-30K-1000-120-8	2049	9464	400	179426	48015104	1.49507961770171067652131887910274891468E00
pk-xt-30K-1000-120-8	2049	9464	500	178784.2	60012306	1.48973426872028162021431123000875990445E00
pk-xt-30K-1000-120-8	2049	9464	600	178654.8	72017117.2	1.48865850187658581925771044800853258451E00
pk-xt-30K-1000-120-8	2049	9464	700	178077.4	84038355	1.48384231445450833673579921840497954354E00
pk-xt-30K-1000-120-8	2049	9464	800	177466.8	96076686.8	1.47875444750897834365183191540775428919E00
pk-xt-30K-1000-120-8	2049	9464	900	178188.2	108168436.2	1.48476556315671063485847130679687695295E00
pk-xt-30K-1000-120-8	2049	9464	1000	177568.2	120134232.6	1.47959937005774470673521593853896726133E00
pk-xt-30K-1000-120-8	2049	9465	100	183929.6	12000866.6	1.53260872500180803427463501038638716402E00
pk-xt-30K-1000-120-8	2049	9465	200	182929.2	24001960.4	1.52427281847412744213137571519072157713E00
pk-xt-30K-1000-120-8	2049	9465	300	183464.8	36008627.8	1.5287331994567164676571314296189515961E00
pk-xt-30K-1000-120-8	2049	9465	400	183645.6	48013216	1.53023972802493104798726783378190332553E00
pk-xt-30K-1000-120-8	2049	9465	500	182351.4	60020399.4	1.51945824872727777083450987800773152331E00
pk-xt-30K-1000-120-8	2049	9465	600	181515.6	72028946	1.51249387226858036305147710708525440135E00
pk-xt-30K-1000-120-8	2049	9465	700	181849	84041049.8	1.51527195937378212069026578154869870201E00
pk-xt-30K-1000-120-8	2049	9465	800	181897.4	96059064	1.51573078146734144854213813193979213572E00
pk-xt-30K-1000-120-8	2049	9465	900	180579.2	108130125.8	1.50467869472138906960412768324078907096E00
pk-xt-30K-1000-120-8	2049	9465	1000	180168	120183762.2	1.5012623842814408679204406262759247069E00
pk-xt-30K-1000-120-8	2049	9466	100	174581	12000923.4	1.45471316861087861379837365142897898026E00
pk-xt-30K-1000-120-8	2049	9466	200	174972.4	24003974.6	1.4579696861121063902475606402746414912E00
pk-xt-30K-1000-120-8	2049	9466	300	174854.4	36005348.6	1.45698887087337661769805367763517047434E00
pk-xt-30K-1000-120-8	2049	9466	400	174266.2	48010149.8	1.45209006239672592965398747844553434892E00
pk-xt-30K-1000-120-8	2049	9466	500	173906.6	60016778.4	1.44909124554591578348436688973316073363E00
pk-xt-30K-1000-120-8	2049	9466	600	172856	72013644	1.44033463599170076076359667030522202131E00
pk-xt-30K-1000-120-8	2049	9466	700	172462	84032232.8	1.43705399521223095171224169878975437168E00
pk-xt-30K-1000-120-8	2049	9466	800	172384.8	96096640.2	1.43637482478978913846064239622018015878E00
pk-xt-30K-1000-120-8	2049	9466	900	172096.6	108185342.6	1.43400688270241894493004807892609844098E00
pk-xt-30K-1000-120-8	2049	9466	1000	171683.2	120147402.4	1.43056219846514069543625167692961478531E00
pk-xt-30K-1000-120-8	2049	9467	100	177482	12001050.8	1.47888356842572046233372695495580182877E00
pk-xt-30K-1000-120-8	2049	9467	200	177399.4	24001225.6	1.4781928323237036604977877027939105582E00
pk-xt-30K-1000-120-8	2049	9467	300	177475.8	36017864.4	1.47882944063460849422136304172117555891E00
pk-xt-30K-1000-120-8	2049	9467	400	176970.6	48006774.4	1.47462228647428009041675970970055462051E00
pk-xt-30K-1000-120-8	2049	9467	500	176164.8	60011980	1.46790788757315611205211502391715806464E00
pk-xt-30K-1000-120-8	2049	9467	600	175394	72028886.4	1.46148269741940322137137429069002008149E00
pk-xt-30K-1000-120-8	2049	9467	700	175067.2	84038951.8	1.45875961370207730957995517077601219888E00
pk-xt-30K-1000-120-8	2049	9467	800	174944.8	96093802.2	1.45773970719350726183433185291348293073E00
pk-xt-30K-1000-120-8	2049	9467	900	174803	108110702.4	1.45656057546723328268971950076312026757E00
pk-xt-30K-1000-120-8	2049	9467	1000	174366.8	120122863.2	1.45285578962959921084510562084796830408E00
pk-xt-30K-1000-120-8	2049	9468	100	180091.2	12000679.2	1.50062244294273024972710834840139653865E00
pk-xt-30K-1000-120-8	2049	9468	200	180207.8	24001733.2	1.50159402054811642266125605152860987743E00
pk-xt-30K-1000-120-8	2049	9468	300	180637.2	36001959.8	1.50513687247479430934048172393622967232E00
pk-xt-30K-1000-120-8	2049	9468	400	179607.2	48020337.2	1.49658947929773104132121222221296381165E00
pk-xt-30K-1000-120-8	2049	9468	500	178760.2	60017094.8	1.4895317929189824266108940013832065394E00
pk-xt-30K-1000-120-8	2049	9468	600	178762	72008251.6	1.48954679154410845672480022664589079335E00
pk-xt-30K-1000-120-8	2049	9468	700	177926.4	84062439.8	1.48258656996938572578740179936468076905E00
pk-xt-30K-1000-120-8	2049	9468	800	177377.8	96080102.4	1.47801777368252534243467201102210438087E00
pk-xt-30K-1000-120-8	2049	9468	900	177580.6	108122786.4	1.47970516232106826754501924455219524772E00
pk-xt-30K-1000-120-8	2049	9468	1000	177260.4	120180294	1.47703460516119355725725141861995983701E00
pk-xt-30K-1000-120-8	2049	9469	100	183003.8	12000140.6	1.52494782500528789932237163714781632354E00
pk-xt-30K-1000-120-8	2049	9469	200	181214.8	24002270.8	1.50997234088505612221583176423721441444E00
pk-xt-30K-1000-120-8	2049	9469	300	177915.8	36016621.2	1.48252546962744008277590247364008020121E00
pk-xt-30K-1000-120-8	2049	9469	400	175639.6	48004653.4	1.46352674861029894155290650646239617594E00
pk-xt-30K-1000-120-8	2049	9469	500	175991	60036630.2	1.46644983115934878363355083056103763209E00
pk-xt-30K-1000-120-8	2049	9469	600	180674.2	72030582.8	1.50548033096966111439784686403746323254E00
pk-xt-30K-1000-120-8	2049	9469	700	180905.4	84031356	1.50736919910058350461615430240813731816E00
pk-xt-30K-1000-120-8	2049	9469	800	180191.4	96126844.4	1.50145987071980557713659738122038976969E00
pk-xt-30K-1000-120-8	2049	9469	900	180188.6	108113044.6	1.50143403521343876811292298205997783536E00
pk-xt-30K-1000-120-8	2049	9469	1000	179643.6	120134379	1.49689527423961361162091791726024536688E00
pk-xt-30K-1000-120-8	2049	9470	100	168871.4	12000949.4	1.40713737387727209359890281034990341006E00
pk-xt-30K-1000-120-8	2049	9470	200	169931.4	24002434.8	1.41596992234992963325221838555030491813E00
pk-xt-30K-1000-120-8	2049	9470	300	168965.8	36024338.8	1.40792396017699433019573128025300844381E00
pk-xt-30K-1000-120-8	2049	9470	400	169121.4	48015934.4	1.40921817392970125142911534528661040002E00
pk-xt-30K-1000-120-8	2049	9470	500	168773	60018788.2	1.40631743994141869662003200632920345216E00
pk-xt-30K-1000-120-8	2049	9470	600	167735.4	72047409.8	1.39766688053595087117014273691578271992E00
pk-xt-30K-1000-120-8	2049	9470	700	167943.8	84049809	1.39940572019794944066910245751429122636E00
pk-xt-30K-1000-120-8	2049	9470	800	167443.6	96112727.8	1.39523776362218875596487537207819944505E00
pk-xt-30K-1000-120-8	2049	9470	900	167194.4	108144173	1.39316360561568415681941373800310562455E00
pk-xt-30K-1000-120-8	2049	9470	1000	167060	120172586.6	1.39204138301321212319418174379483647185E00
pk-xt-30K-1000-120-8	2049	9471	100	171850.6	12001212	1.43196184812686923580348328359320721684E00
pk-xt-30K-1000-120-8	2049	9471	200	172043.4	24002345.2	1.43356598065531185708582218393444756662E00
pk-xt-30K-1000-120-8	2049	9471	300	171642.6	36006033	1.43022628044780421417512605021455512483E00
pk-xt-30K-1000-120-8	2049	9471	400	165523.8	48022378.8	1.37924094754831069630077399003194309721E00
pk-xt-30K-1000-120-8	2049	9471	500	157112.8	60057798	1.30915552194983187563832535415914791595E00
pk-xt-30K-1000-120-8	2049	9471	600	161323.8	72037418.8	1.34424398676989592483200497332962932416E00
pk-xt-30K-1000-120-8	2049	9471	700	166862.4	84043468	1.39039725713668869857248892256537179034E00
pk-xt-30K-1000-120-8	2049	9471	800	169473.2	96083211.6	1.41214721983818150002916399330061411037E00
pk-xt-30K-1000-120-8	2049	9471	900	169443.6	108109210.2	1.41190527869361884890296466317518649866E00
pk-xt-30K-1000-120-8	2049	9471	1000	169078.4	120140452.6	1.4088598645671323419523418391533146764E00
pk-xt-30K-1000-120-8	2049	9472	100	173330.6	12000595.8	1.44428927348326403413020473123297031105E00
pk-xt-30K-1000-120-8	2049	9472	200	174424.8	24002163.4	1.45340919301101395927854739860522923443E00
pk-xt-30K-1000-120-8	2049	9472	300	173939.2	36005885.2	1.44936288786754556387146054816374771234E00
pk-xt-30K-1000-120-8	2049	9472	400	173599.6	48009832.6	1.44654038120277271392055011683646244879E00
pk-xt-30K-1000-120-8	2049	9472	500	172706.8	60012803.8	1.43918976156868478205237203027214296479E00
