DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-6	3009	9589	1	6	1	0	50	6.084	1100
db2	pk-xt-1M-1000-120-6	3009	9591	1	6	.25	0	75	6.074	1100
db2	pk-xt-1M-1000-120-6	3009	9593	1	6	.5	0	75	6.048	1100
db2	pk-xt-1M-1000-120-6	3009	9595	1	6	.75	0	75	6.021	1100
db2	pk-xt-1M-1000-120-6	3009	9597	1	6	1	0	75	6.064	1100
db2	pk-xt-1M-1000-120-6	3009	9607	1	6	.25	0	100	6.03	1100
db2	pk-xt-1M-1000-120-6	3009	9609	1	6	.5	0	100	6.052	1100
db2	pk-xt-1M-1000-120-6	3009	9611	1	6	.75	0	100	390521.988	100
db2	pk-xt-1M-1000-120-6	3009	9626	1	6	.25	.01	0	114072.31	1100
db2	pk-xt-1M-1000-120-6	3009	9628	1	6	.5	.01	0	112228.858	1100
db2	pk-xt-1M-1000-120-6	3009	9632	1	6	1	.01	0	117737.299	800
db2	pk-xt-1M-1000-120-6	3009	9651	1	6	.75	.1	0	5535.031	100
db2	pk-xt-1M-1000-120-6	3009	9653	1	6	1	.1	0	16123.225	1100
db2	pk-xt-1M-1000-120-6	3009	9668	1	6	.5	1	0	70.146	1100
db2	pk-xt-1M-1000-120-6	3009	9670	1	6	.75	1	0	70.863	1100
db2	pk-xt-1M-1000-120-8	2289	9295	1	8	.25	0	25	66.819	100
db2	pk-xt-1M-1000-120-8	2289	9304	1	8	.5	0	25	50.812	1100
db2	pk-xt-1M-1000-120-8	2289	9307	1	8	.75	0	25	50.761	1100
db2	pk-xt-1M-1000-120-8	2289	9309	1	8	1	0	25	52.27	1100
db2	pk-xt-1M-1000-120-8	2289	9311	1	8	.25	0	50	51.199	1100
db2	pk-xt-1M-1000-120-8	2289	9314	1	8	.5	0	50	51.892	1100
db2	pk-xt-1M-1000-120-8	2289	9316	1	8	.75	0	50	52.798	1100
db2	pk-xt-1M-1000-120-8	2289	9318	1	8	1	0	50	52.557	1100
db2	pk-xt-1M-1000-120-8	2289	9320	1	8	.25	0	75	49.487	1100
db2	pk-xt-1M-1000-120-8	2289	9322	1	8	.5	0	75	50.897	1100
db2	pk-xt-1M-1000-120-8	2289	9328	1	8	.75	0	75	51.538	1100
db2	pk-xt-1M-1000-120-8	2289	9336	1	8	1	0	75	51.379	1100
db2	pk-xt-1M-1000-120-8	2289	9339	1	8	.25	0	100	49.249	1100
db2	pk-xt-1M-1000-120-8	2289	9348	1	8	.5	0	100	50.976	1100
db2	pk-xt-1M-1000-120-8	2289	9353	1	8	.75	0	100	51.34	1100
db2	pk-xt-1M-1000-120-8	2289	9355	1	8	1	0	100	52.242	1100
db2	pk-xt-1M-1000-120-8	2289	9409	1	8	.25	.01	0	21439.567	1100
db2	pk-xt-1M-1000-120-8	2289	9412	1	8	.5	.01	0	21528.002	1100
db2	pk-xt-1M-1000-120-8	2289	9414	1	8	.75	.01	0	5.79	1100
db2	pk-xt-1M-1000-120-8	2289	9416	1	8	1	.01	0	5.613	1100
db2	pk-xt-1M-1000-120-8	2289	9419	1	8	.25	.1	0	5.546	1100
db2	pk-xt-1M-1000-120-8	2289	9421	1	8	.5	.1	0	5.596	1100
db2	pk-xt-1M-1000-120-8	2289	9423	1	8	.75	.1	0	5.403	1100
db2	pk-xt-1M-1000-120-8	2289	9425	1	8	1	.1	0	5.469	1100
db2	pk-xt-1M-1000-120-8	2289	9428	1	8	.25	1	0	5.546	1100
db2	pk-xt-1M-1000-120-8	2289	9430	1	8	.5	1	0	5.512	1100
db2	pk-xt-1M-1000-120-8	2289	9432	1	8	.75	1	0	5.74	1100
db2	pk-xt-1M-1000-120-8	2289	9437	1	8	1	1	0	5.666	1100
db2	xt-1M-1000-120-1	2389	1602	0	1	.25	0	25	152.149	1100
db2	xt-1M-1000-120-1	2389	1623	0	1	.5	0	25	167.127	1100
db2	xt-1M-1000-120-1	2389	1661	0	1	.75	0	25	167.743	1100
db2	xt-1M-1000-120-1	2389	1683	0	1	1	0	25	160.428	1100
db2	xt-1M-1000-120-1	2389	1723	0	1	.25	0	50	157.674	1100
db2	xt-1M-1000-120-1	2389	1763	0	1	.5	0	50	154.68	1100
db2	xt-1M-1000-120-1	2389	1801	0	1	.75	0	50	158.449	1100
db2	xt-1M-1000-120-1	2389	1842	0	1	1	0	50	161.251	1100
