"DBMS" "EXPERIMENTNAME" "RUNID" "BATCHSETID" "PK" "NUMPROCESSORS" "ACTROWPOOL" "PCTREAD" "PCTUPDATE" "ATP" "MAXMPL"
"55" "db2" "pk-xt-1M-1000-120-4" 1630 9424 1 0.5 0.5 0 0 0.000337140402954421 1
"56" "db2" "pk-xt-1M-1000-120-4" 1630 9426 1 0.5 0.75 0 0 0.000334190625066325 1
"57" "db2" "pk-xt-1M-1000-120-4" 1630 9427 1 0.5 1 0 0 0.000328622833353305 1
"58" "db2" "pk-xt-1M-1000-120-4" 1630 9429 1 0.5 0.25 0 0 0.000334836390349908 1
"59" "db2" "pk-xt-1M-1000-120-4" 1630 9431 1 0.5 0.5 0 0 0.000327401064918594 1
"60" "db2" "pk-xt-1M-1000-120-4" 1630 9433 1 0.5 0.75 0 0 0.000338936097433648 1
"61" "db2" "pk-xt-1M-1000-120-4" 1630 9435 1 0.5 1 0 0 0.000347622127543525 1
"62" "db2" "pk-xt-1M-1000-120-4" 1630 9438 1 0.5 0.25 0.01 0.01 0.225998722683288 1
"63" "db2" "pk-xt-1M-1000-120-4" 1630 9440 1 0.5 0.5 0.01 0.01 0.708713001446685 1
"64" "db2" "pk-xt-1M-1000-120-4" 1630 9442 1 0.5 0.75 0.01 0.01 0.67763567180066 1
"65" "db2" "pk-xt-1M-1000-120-4" 1630 9444 1 0.5 1 0.01 0.01 1 1
"66" "db2" "pk-xt-1M-1000-120-4" 1630 9446 1 0.5 0.25 0.1 0.1 0.0150229418842742 0.5
"67" "db2" "pk-xt-1M-1000-120-4" 1630 9449 1 0.5 0.5 0.1 0.1 0.00594605846879278 0.4
"68" "db2" "pk-xt-1M-1000-120-4" 1630 9451 1 0.5 0.75 0.1 0.1 0.00854156147173654 0.6
"69" "db2" "pk-xt-1M-1000-120-4" 1630 9453 1 0.5 1 0.1 0.1 0.0833658177587448 0.4
"70" "db2" "pk-xt-1M-1000-120-4" 1630 9455 1 0.5 0.25 1 1 0.00614954930895943 1
"71" "db2" "pk-xt-1M-1000-120-4" 1630 9456 1 0.5 0.5 1 1 0.000886976021721894 0.6
"72" "db2" "pk-xt-1M-1000-120-4" 1630 9457 1 0.5 0.75 1 1 0.00095673049036922 1
"73" "db2" "pk-xt-1M-1000-120-4" 1630 9458 1 0.5 1 1 1 0.00312678425808242 0.4
"74" "db2" "pk-xt-1M-1000-120-8" 1869 9295 1 1 0.25 0 0 0.000336138163201407 1
"75" "db2" "pk-xt-1M-1000-120-8" 1869 9304 1 1 0.5 0 0 0.000347655934244262 1
"76" "db2" "pk-xt-1M-1000-120-8" 1869 9307 1 1 0.75 0 0 0.000355648139120991 1
"77" "db2" "pk-xt-1M-1000-120-8" 1869 9309 1 1 1 0 0 0.000370422526835756 1
"78" "db2" "pk-xt-1M-1000-120-8" 1869 9311 1 1 0.25 0 0 0.000348757660241608 1
"79" "db2" "pk-xt-1M-1000-120-8" 1869 9314 1 1 0.5 0 0 0.000349976062331119 1
"80" "db2" "pk-xt-1M-1000-120-8" 1869 9316 1 1 0.75 0 0 0.000357246508471971 1
"81" "db2" "pk-xt-1M-1000-120-8" 1869 9318 1 1 1 0 0 0.000364143576793023 1
"82" "db2" "pk-xt-1M-1000-120-8" 1869 9320 1 1 0.25 0 0 0.000351256419497193 1
"83" "db2" "pk-xt-1M-1000-120-8" 1869 9322 1 1 0.5 0 0 0.000349394758976909 1
"84" "db2" "pk-xt-1M-1000-120-8" 1869 9328 1 1 0.75 0 0 0.000340771471811621 1
"85" "db2" "pk-xt-1M-1000-120-8" 1869 9336 1 1 1 0 0 0.000340485833840134 1
"86" "db2" "pk-xt-1M-1000-120-8" 1869 9339 1 1 0.25 0 0 0.000340653578105235 1
"87" "db2" "pk-xt-1M-1000-120-8" 1869 9348 1 1 0.5 0 0 0.00033901495586058 1
"88" "db2" "pk-xt-1M-1000-120-8" 1869 9353 1 1 0.75 0 0 0.000282245769890462 0.7
"89" "db2" "pk-xt-1M-1000-120-8" 1869 9355 1 1 1 0 0 0.000336178201221984 1
"90" "db2" "pk-xt-1M-1000-120-8" 1869 9409 1 1 0.25 0.01 0.01 0.229588296178937 0.6
"91" "db2" "pk-xt-1M-1000-120-8" 1869 9412 1 1 0.5 0.01 0.01 0.885577674084915 1
"92" "db2" "pk-xt-1M-1000-120-8" 1869 9414 1 1 0.75 0.01 0.01 0.93331638299738 1
"93" "db2" "pk-xt-1M-1000-120-8" 1869 9416 1 1 1 0.01 0.01 3.12838756951465e-05 1
"94" "db2" "pk-xt-1M-1000-120-8" 1869 9419 1 1 0.25 0.1 0.1 3.041994259282e-05 1
"95" "db2" "pk-xt-1M-1000-120-8" 1869 9421 1 1 0.5 0.1 0.1 2.93412796413163e-05 1
"96" "db2" "pk-xt-1M-1000-120-8" 1869 9423 1 1 0.75 0.1 0.1 2.9264211823533e-05 1
"97" "db2" "pk-xt-1M-1000-120-8" 1869 9425 1 1 1 0.1 0.1 0.0512785700128007 0.3
"98" "db2" "pk-xt-1M-1000-120-8" 1869 9428 1 1 0.25 1 1 0.00261944896234531 0.6
"99" "db2" "pk-xt-1M-1000-120-8" 1869 9430 1 1 0.5 1 1 0.0169357679866326 0.4
"100" "db2" "pk-xt-1M-1000-120-8" 1869 9432 1 1 0.75 1 1 7.51898985320348e-05 1
"101" "db2" "pk-xt-1M-1000-120-8" 1869 9437 1 1 1 1 1 3.08196781792969e-05 1
"102" "db2" "xt-1M-1000-120-1" 689 1602 0 0.125 0.25 0 0 0.000366509616098466 1
"103" "db2" "xt-1M-1000-120-1" 689 1623 0 0.125 0.5 0 0 0.000358897091985742 1
"104" "db2" "xt-1M-1000-120-1" 689 1661 0 0.125 0.75 0 0 0.000847250211756095 1
"105" "db2" "xt-1M-1000-120-1" 689 1683 0 0.125 1 0 0 0.00083180957418908 1
"106" "db2" "xt-1M-1000-120-1" 689 1723 0 0.125 0.25 0 0 0.000385591278309551 1
"107" "db2" "xt-1M-1000-120-1" 689 1763 0 0.125 0.5 0 0 0.000346766932613846 1
"108" "db2" "xt-1M-1000-120-1" 689 1801 0 0.125 0.75 0 0 0.000797429950147991 1
"109" "db2" "xt-1M-1000-120-1" 689 1842 0 0.125 1 0 0 0.000876317026827015 0.6
"110" "db2" "xt-1M-1000-120-1" 689 1882 0 0.125 0.25 0 0 0.000377525371960239 1
"111" "db2" "xt-1M-1000-120-1" 689 1902 0 0.125 0.5 0 0 0.00037629006652036 1
"112" "db2" "xt-1M-1000-120-1" 689 1923 0 0.125 0.75 0 0 0.000795502896581576 1
"113" "db2" "xt-1M-1000-120-1" 689 1943 0 0.125 1 0 0 0.000824577948454583 0.1
"114" "db2" "xt-1M-1000-120-1" 689 1983 0 0.125 0.25 0 0 0.000384764661501894 1
"115" "db2" "xt-1M-1000-120-1" 689 2022 0 0.125 0.5 0 0 0.000368212843521225 1
"116" "db2" "xt-1M-1000-120-1" 689 2043 0 0.125 0.75 0 0 0.000795917816533639 0.5
"117" "db2" "xt-1M-1000-120-1" 689 2083 0 0.125 1 0 0 0.000746221894824858 1
"118" "db2" "xt-1M-1000-120-1" 689 2123 0 0.125 0.25 0.01 0.01 0.000289182732983359 0.4
"119" "db2" "xt-1M-1000-120-1" 689 2142 0 0.125 0.5 0.01 0.01 0.000275641788474958 0.1
"120" "db2" "xt-1M-1000-120-1" 689 2144 0 0.125 0.75 0.01 0.01 0.00027553707365191 0.1
"121" "db2" "xt-1M-1000-120-1" 689 2147 0 0.125 1 0.01 0.01 0.000311850985320377 0.1
"122" "db2" "xt-1M-1000-120-1" 689 2503 0 0.125 0.25 0.1 0.1 0.000249918828553699 0.2
"123" "db2" "xt-1M-1000-120-1" 689 2522 0 0.125 0.5 0.1 0.1 0.000324631350686546 0.1
"124" "db2" "xt-1M-1000-120-1" 689 2541 0 0.125 0.75 0.1 0.1 0.000407404908711818 0.1
"125" "db2" "xt-1M-1000-120-1" 689 4105 0 0.125 0.25 1 1 0.000310160435410394 1
"126" "db2" "xt-1M-1000-120-1" 689 4124 0 0.125 0.5 1 1 0.000269215507111425 0.1
"127" "db2" "xt-1M-1000-120-1" 689 4125 0 0.125 0.75 1 1 0.000271674729716994 1
"128" "db2" "xt-1M-1000-120-1" 689 4144 0 0.125 1 1 1 0.000285036541686105 0.2
"129" "db2" "xt-1M-1000-120-2" 949 401 0 0.25 0.25 0 0 0.000262615035289853 1
"130" "db2" "xt-1M-1000-120-2" 949 422 0 0.25 0.5 0 0 0.000271127304687888 1
"131" "db2" "xt-1M-1000-120-2" 949 462 0 0.25 0.75 0 0 0.000276637868532499 0.6
"132" "db2" "xt-1M-1000-120-2" 949 482 0 0.25 1 0 0 0.000272483798554988 1
"133" "db2" "xt-1M-1000-120-2" 949 521 0 0.25 0.25 0 0 0.000241063048696473 1
"134" "db2" "xt-1M-1000-120-2" 949 542 0 0.25 0.5 0 0 0.000268254666241941 0.4
"135" "db2" "xt-1M-1000-120-2" 949 582 0 0.25 0.75 0 0 0.000241765039107342 1
"136" "db2" "xt-1M-1000-120-2" 949 601 0 0.25 1 0 0 0.000248211733415177 1
"137" "db2" "xt-1M-1000-120-2" 949 641 0 0.25 0.25 0 0 0.00024019603574641 1
"138" "db2" "xt-1M-1000-120-2" 949 662 0 0.25 0.5 0 0 0.000261152752234216 1
"139" "db2" "xt-1M-1000-120-2" 949 702 0 0.25 0.75 0 0 0.000269592681022621 0.6
"140" "db2" "xt-1M-1000-120-2" 949 741 0 0.25 1 0 0 0.000281384486889676 1
"141" "db2" "xt-1M-1000-120-2" 949 762 0 0.25 0.25 0 0 0.000252797411822021 0.7
"142" "db2" "xt-1M-1000-120-2" 949 841 0 0.25 0.75 0 0 0.000241574804791327 1
"143" "db2" "xt-1M-1000-120-2" 949 862 0 0.25 1 0 0 0.000266734725571698 0.5
"144" "db2" "xt-1M-1000-120-2" 949 902 0 0.25 0.25 0.01 0.01 0.000230139186896239 1
"145" "db2" "xt-1M-1000-120-2" 949 941 0 0.25 0.5 0.01 0.01 0.000246327224722148 1
"146" "db2" "xt-1M-1000-120-2" 949 962 0 0.25 0.75 0.01 0.01 0.000273829692015925 0.4
"147" "db2" "xt-1M-1000-120-2" 949 1001 0 0.25 1 0.01 0.01 0.000207990211212502 1
"148" "db2" "xt-1M-1000-120-2" 949 1441 0 0.25 0.25 0.1 0.1 0.000172364967822834 1
"149" "db2" "xt-1M-1000-120-2" 949 1461 0 0.25 0.5 0.1 0.1 0.000208789467512358 0.5
"150" "db2" "xt-1M-1000-120-2" 949 1482 0 0.25 0.75 0.1 0.1 0.000230102371972131 1
"151" "db2" "xt-1M-1000-120-2" 949 1501 0 0.25 1 0.1 0.1 0.000230910294820269 1
"152" "db2" "xt-1M-1000-120-2" 949 1821 0 0.25 0.25 1 1 0.000209680188127557 1
"153" "db2" "xt-1M-1000-120-2" 949 1841 0 0.25 0.5 1 1 0.000193228644259245 0.4
"154" "db2" "xt-1M-1000-120-2" 949 1861 0 0.25 0.75 1 1 0.000223348409134286 0.4
"155" "db2" "xt-1M-1000-120-2" 949 1881 0 0.25 1 1 1 0.000203230270723254 1
"156" "db2" "xt-1M-1000-120-4" 849 2203 0 0.5 0.25 0 0 9.69387805074653e-05 1
